train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
-0.33019298,0.05666644,-0.33128202,-0.42059043,-0.24839865,1000.0,0.0,1000.0,1000,1000,53.40870428085327,8000,8000,1000
-0.4639468,0.025128357,-0.4640581,-0.50122947,-0.42781278,1000.0,0.0,1000.0,1000,1000,58.519906759262085,16000,16000,2000
-0.26486808,0.05459199,-0.26235583,-0.37073746,-0.18719777,1000.0,0.0,1000.0,1000,1000,62.98739671707153,24000,24000,3000
-0.38329995,0.064313985,-0.37351233,-0.48470557,-0.29507154,1000.0,0.0,1000.0,1000,1000,68.41529083251953,31992,31992,3999
-0.29443675,0.06963391,-0.3059437,-0.4114039,-0.18202697,1000.0,0.0,1000.0,1000,1000,73.52722787857056,39992,39992,4999
-0.4504065,0.0,-0.4504065,-0.4504065,-0.4504065,850.0,0.0,850.0,850,850,89.43898916244507,46784,46784,5848
-0.47283554,0.0,-0.47283554,-0.47283554,-0.47283554,851.0,0.0,851.0,851,851,89.47035622596741,46792,46792,5849
-0.47162405,0.05083129,-0.47483146,-0.5434647,-0.38863543,1000.0,0.0,1000.0,1000,1000,93.18662929534912,47984,47984,5998
-0.15367752,0.0,-0.15367752,-0.15367752,-0.15367752,221.0,0.0,221.0,221,221,98.03016710281372,49752,49752,6219
-0.29596418,0.17592345,-0.29596418,-0.47188762,-0.12004073,1000.0,0.0,1000.0,1000,1000,110.5091643333435,54784,54784,6848
-0.36531603,0.035870645,-0.35847434,-0.40518144,-0.30668563,1000.0,0.0,1000.0,1000,1000,113.00800132751465,55984,55984,6998
-0.4365114,0.0,-0.4365114,-0.4365114,-0.4365114,1000.0,0.0,1000.0,1000,1000,117.53636598587036,57744,57744,7218
-0.409487,0.0,-0.409487,-0.409487,-0.409487,1000.0,0.0,1000.0,1000,1000,129.65810918807983,62776,62776,7847
-0.36068904,0.0,-0.36068904,-0.36068904,-0.36068904,1000.0,0.0,1000.0,1000,1000,129.6807849407196,62784,62784,7848
-0.29299742,0.058932528,-0.28824386,-0.36495778,-0.2115724,1000.0,0.0,1000.0,1000,1000,133.00639128684998,63984,63984,7998
-0.047978163,0.0,-0.047978163,-0.047978163,-0.047978163,1000.0,0.0,1000.0,1000,1000,137.06508207321167,65744,65744,8218
-0.3836521,0.018794239,-0.3836521,-0.40244633,-0.36485785,1000.0,0.0,1000.0,1000,1000,148.71691226959229,70776,70776,8847
-0.4047777,0.041644845,-0.4142629,-0.45902094,-0.33561245,1000.0,0.0,1000.0,1000,1000,152.5922656059265,71984,71984,8998
-0.30321345,0.0,-0.30321345,-0.30321345,-0.30321345,1000.0,0.0,1000.0,1000,1000,157.82027339935303,73736,73736,9217
-0.44136998,0.00931108,-0.44136998,-0.45068106,-0.4320589,1000.0,0.0,1000.0,1000,1000,171.17804765701294,78768,78768,9846
-0.42156005,0.04490148,-0.40238488,-0.50959677,-0.3850867,1000.0,0.0,1000.0,1000,1000,174.76754474639893,79976,79976,9997
-0.2102092,0.0,-0.2102092,-0.2102092,-0.2102092,1000.0,0.0,1000.0,1000,1000,179.2626678943634,81728,81728,10216
-0.3655542,0.05281335,-0.3655542,-0.41836756,-0.31274086,1000.0,0.0,1000.0,1000,1000,192.3887050151825,86768,86768,10846
-0.28731135,0.02935311,-0.2942947,-0.3287199,-0.23926285,1000.0,0.0,1000.0,1000,1000,195.6072313785553,87976,87976,10997
-0.21341254,0.0,-0.21341254,-0.21341254,-0.21341254,1000.0,0.0,1000.0,1000,1000,202.1618845462799,89728,89728,11216
-0.27426457,0.0,-0.27426457,-0.27426457,-0.27426457,1000.0,0.0,1000.0,1000,1000,215.98031210899353,94760,94760,11845
-0.26649714,0.0,-0.26649714,-0.26649714,-0.26649714,1000.0,0.0,1000.0,1000,1000,215.99734330177307,94768,94768,11846
