train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
-0.33019298,0.05666644,-0.33128202,-0.42059043,-0.24839865,1000.0,0.0,1000.0,1000,1000,51.85714840888977,8000,8000,1000
-0.4639468,0.025128357,-0.4640581,-0.50122947,-0.42781278,1000.0,0.0,1000.0,1000,1000,55.30291175842285,16000,16000,2000
-0.26486808,0.05459199,-0.26235583,-0.37073746,-0.18719777,1000.0,0.0,1000.0,1000,1000,59.84718871116638,24000,24000,3000
-0.38329995,0.064313985,-0.37351233,-0.48470557,-0.29507154,1000.0,0.0,1000.0,1000,1000,63.56238102912903,31992,31992,3999
-0.29443675,0.06963391,-0.3059437,-0.4114039,-0.18202697,1000.0,0.0,1000.0,1000,1000,66.93811750411987,39992,39992,4999
-0.4504065,0.0,-0.4504065,-0.4504065,-0.4504065,850.0,0.0,850.0,850,850,82.72450590133667,46784,46784,5848
-0.47283554,0.0,-0.47283554,-0.47283554,-0.47283554,851.0,0.0,851.0,851,851,82.7511830329895,46792,46792,5849
-0.47162405,0.05083129,-0.47483146,-0.5434647,-0.38863543,1000.0,0.0,1000.0,1000,1000,85.41794300079346,47984,47984,5998
-0.15367752,0.0,-0.15367752,-0.15367752,-0.15367752,221.0,0.0,221.0,221,221,89.31207871437073,49752,49752,6219
-0.29596418,0.17592345,-0.29596418,-0.47188762,-0.12004073,1000.0,0.0,1000.0,1000,1000,101.61607837677002,54784,54784,6848
-0.36531603,0.035870645,-0.35847434,-0.40518144,-0.30668563,1000.0,0.0,1000.0,1000,1000,104.313236951828,55984,55984,6998
-0.4365114,0.0,-0.4365114,-0.4365114,-0.4365114,1000.0,0.0,1000.0,1000,1000,107.83935832977295,57744,57744,7218
-0.409487,0.0,-0.409487,-0.409487,-0.409487,1000.0,0.0,1000.0,1000,1000,119.2241702079773,62776,62776,7847
-0.36068904,0.0,-0.36068904,-0.36068904,-0.36068904,1000.0,0.0,1000.0,1000,1000,119.2457332611084,62784,62784,7848
-0.29299742,0.058932528,-0.28824386,-0.36495778,-0.2115724,1000.0,0.0,1000.0,1000,1000,121.90861225128174,63984,63984,7998
-0.047978163,0.0,-0.047978163,-0.047978163,-0.047978163,1000.0,0.0,1000.0,1000,1000,125.52434945106506,65744,65744,8218
-0.3836521,0.018794239,-0.3836521,-0.40244633,-0.36485785,1000.0,0.0,1000.0,1000,1000,136.3810863494873,70776,70776,8847
-0.4047777,0.041644845,-0.4142629,-0.45902094,-0.33561245,1000.0,0.0,1000.0,1000,1000,139.0597541332245,71984,71984,8998
-0.30321345,0.0,-0.30321345,-0.30321345,-0.30321345,1000.0,0.0,1000.0,1000,1000,143.63104271888733,73736,73736,9217
-0.44136998,0.00931108,-0.44136998,-0.45068106,-0.4320589,1000.0,0.0,1000.0,1000,1000,155.93515539169312,78768,78768,9846
-0.42156005,0.04490148,-0.40238488,-0.50959677,-0.3850867,1000.0,0.0,1000.0,1000,1000,158.6534674167633,79976,79976,9997
-0.2102092,0.0,-0.2102092,-0.2102092,-0.2102092,1000.0,0.0,1000.0,1000,1000,162.81557989120483,81728,81728,10216
-0.3655542,0.05281335,-0.3655542,-0.41836756,-0.31274086,1000.0,0.0,1000.0,1000,1000,175.37861371040344,86768,86768,10846
-0.28731135,0.02935311,-0.2942947,-0.3287199,-0.23926285,1000.0,0.0,1000.0,1000,1000,178.25085020065308,87976,87976,10997
-0.21341254,0.0,-0.21341254,-0.21341254,-0.21341254,1000.0,0.0,1000.0,1000,1000,182.3510479927063,89728,89728,11216
-0.27426457,0.0,-0.27426457,-0.27426457,-0.27426457,1000.0,0.0,1000.0,1000,1000,194.15073156356812,94760,94760,11845
-0.26649714,0.0,-0.26649714,-0.26649714,-0.26649714,1000.0,0.0,1000.0,1000,1000,194.1729278564453,94768,94768,11846
-0.22354516,0.03345995,-0.23380347,-0.26368016,-0.1687114,1000.0,0.0,1000.0,1000,1000,197.03873419761658,95968,95968,11996
-0.020336807,0.0,-0.020336807,-0.020336807,-0.020336807,1000.0,0.0,1000.0,1000,1000,201.01093530654907,97720,97720,12215
-0.18366325,0.06802571,-0.18366325,-0.25168896,-0.11563755,1000.0,0.0,1000.0,1000,1000,212.50217008590698,102760,102760,12845
-0.22833748,0.029512703,-0.22713369,-0.26679528,-0.19429998,1000.0,0.0,1000.0,1000,1000,215.47111868858337,103960,103960,12995
-0.2095729,0.0,-0.2095729,-0.2095729,-0.2095729,1000.0,0.0,1000.0,1000,1000,219.70741200447083,105712,105712,13214
-0.2706423,0.0,-0.2706423,-0.2706423,-0.2706423,1000.0,0.0,1000.0,1000,1000,232.0485372543335,110752,110752,13844
-0.078341685,0.0,-0.078341685,-0.078341685,-0.078341685,1000.0,0.0,1000.0,1000,1000,232.0726535320282,110760,110760,13845
-0.14658017,0.044670455,-0.17349201,-0.18229118,-0.06503426,1000.0,0.0,1000.0,1000,1000,234.9802966117859,111952,111952,13994
-0.28231677,0.0,-0.28231677,-0.28231677,-0.28231677,1000.0,0.0,1000.0,1000,1000,238.9731788635254,113704,113704,14213
-0.029958911,0.050526768,-0.029958911,-0.08048568,0.020567857,1000.0,0.0,1000.0,1000,1000,250.9524085521698,118752,118752,14844
-0.17154503,0.03662535,-0.161754,-0.24074198,-0.13805628,1000.0,0.0,1000.0,1000,1000,253.83016300201416,119952,119952,14994
-0.17054403,0.0,-0.17054403,-0.17054403,-0.17054403,1000.0,0.0,1000.0,1000,1000,257.8673803806305,121696,121696,15212
-0.19745296,0.06105218,-0.19745296,-0.25850514,-0.13640077,1000.0,0.0,1000.0,1000,1000,269.2182824611664,126744,126744,15843
-0.34649375,0.04363654,-0.3472109,-0.41573945,-0.29831538,1000.0,0.0,1000.0,1000,1000,271.965767621994,127952,127952,15994
-0.09678101,0.0,-0.09678101,-0.09678101,-0.09678101,1000.0,0.0,1000.0,1000,1000,275.8499081134796,129696,129696,16212
-0.12472774,0.12152632,-0.12472774,-0.24625407,-0.0032014176,1000.0,0.0,1000.0,1000,1000,287.3008511066437,134736,134736,16842
-0.22826496,0.04459975,-0.20533068,-0.3114095,-0.19143191,1000.0,0.0,1000.0,1000,1000,290.0583608150482,135952,135952,16994
0.054433227,0.0,0.054433227,0.054433227,0.054433227,1000.0,0.0,1000.0,1000,1000,293.8922920227051,137688,137688,17211
-0.10846516,0.0,-0.10846516,-0.10846516,-0.10846516,1000.0,0.0,1000.0,1000,1000,304.87679719924927,142728,142728,17841
-0.31026164,0.0,-0.31026164,-0.31026164,-0.31026164,1000.0,0.0,1000.0,1000,1000,304.895977973938,142736,142736,17842
0.026720356,0.029971607,0.018442784,-0.0054670284,0.0823225,1000.0,0.0,1000.0,1000,1000,307.6643681526184,143952,143952,17994
0.027806936,0.0,0.027806936,0.027806936,0.027806936,1000.0,0.0,1000.0,1000,1000,311.47219920158386,145680,145680,18210
0.036034647,0.0,0.036034647,0.036034647,0.036034647,1000.0,0.0,1000.0,1000,1000,323.05333161354065,150728,150728,18841
0.2718152,0.0,0.2718152,0.2718152,0.2718152,1000.0,0.0,1000.0,1000,1000,323.0740804672241,150736,150736,18842
