train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
-0.15769483,0.131684,-0.12584269,-0.7562552,0.055531185,104.56859504132231,88.99436701744672,73.0,13,566,0.0003,0.05908060818910599,-0.018577348440885544,22.67505645751953,0.011500101536512375,0.010875893756747246,0.08349609375,-29.844249725341797,1119,58.5457227230072,65536,65536,2048
-0.1686226,0.13695103,-0.12870444,-1.0098882,0.06186628,111.85591766723842,91.78704095315753,79.0,10,552,0.0002980263157894737,0.002752149011939764,-0.026044759899377823,22.64768409729004,0.008583864197134972,0.00964279193431139,0.08584136962890625,-23.43341636657715,1120,116.95683717727661,131072,131072,4096
-0.16729821,0.13315682,-0.14009324,-0.9594357,0.071395144,111.66609880749574,88.28664940008468,84.0,15,734,0.00029605263157894733,0.00030703519587405026,-0.027569815516471863,22.6142635345459,0.008591623045504093,0.009716495871543884,0.08949737548828125,-3.993499279022217,1124,174.8748631477356,196608,196608,6144
-0.16493945,0.14330542,-0.13079418,-1.0483965,0.07027164,113.30691399662732,98.02591237466079,80.0,14,739,0.00029407894736842104,0.00026235252153128386,-0.0344478078186512,22.593271255493164,0.008375617675483227,0.00973460078239441,0.09823150634765625,-0.5095226764678955,1142,229.39650058746338,262144,262144,8192
-0.1508267,0.12797184,-0.12621564,-0.8903552,0.06693588,103.64423076923077,90.56822951501927,76.0,16,960,0.0002921052631578947,0.00028099125484004617,-0.032511766999959946,22.555435180664062,0.0059243300929665565,0.011549904942512512,0.1032501220703125,-0.11552250385284424,1103,296.92324590682983,327680,327680,10240
-0.15028511,0.1336131,-0.11312581,-0.94261605,0.043728534,104.12676056338029,90.30786097209818,73.0,15,645,0.0002901315789473684,0.00026745625655166805,-0.03635291010141373,22.524879455566406,0.011551566421985626,0.011314713396131992,0.105548095703125,-0.026068687438964844,1099,357.6098053455353,393216,393216,12288
-0.12865692,0.12143034,-0.103267536,-0.8863991,0.07560052,93.13086770981508,77.99671693286456,71.0,11,862,0.00028815789473684206,0.00029653054662048817,-0.03517264127731323,22.493370056152344,0.010961877182126045,0.010653688572347164,0.115203857421875,0.00848156213760376,1097,417.88380694389343,458752,458752,14336
-0.12544833,0.11971872,-0.09826916,-0.8440331,0.10780539,93.81188118811882,77.51670879057495,72.0,13,646,0.00028618421052631576,0.0003350632032379508,-0.0405702218413353,22.45884132385254,0.011955850757658482,0.010408281348645687,0.11369171142578124,0.022609293460845947,1100,476.4163842201233,524288,524288,16384
-0.11825949,0.10287868,-0.0992925,-0.6088032,0.124148,89.07930107526882,66.76564213279146,71.0,12,512,0.00028421052631578947,0.0003186219837516546,-0.033387016505002975,22.423606872558594,0.014469340443611145,0.011995075270533562,0.11681976318359374,0.0279923677444458,1097,537.5569574832916,589824,589824,18432
-0.10393453,0.096222624,-0.08616081,-0.59651196,0.110019706,80.04096385542168,58.51036986896864,63.0,15,479,0.0002822368421052631,0.00035142857814207673,-0.03656354919075966,22.37812042236328,0.014784523285925388,0.012085199356079102,0.1198760986328125,0.041224658489227295,1108,591.3173892498016,655360,655360,20480
-0.08753957,0.08850845,-0.070704214,-0.54427254,0.11503461,73.7116912599319,52.78109731095493,59.0,11,532,0.00028026315789473683,0.0003134940052405,-0.037153761833906174,22.33252716064453,0.010784883052110672,0.011902391910552979,0.12515716552734374,0.04255414009094238,1126,640.117743730545,720896,720896,22528
-0.074099645,0.088385075,-0.058228172,-0.7540388,0.17035466,72.1133909287257,53.737855566620915,56.0,13,419,0.0002782894736842105,0.00030178684392012656,-0.04102111607789993,22.29659652709961,0.012368757277727127,0.011381251737475395,0.13070526123046874,0.05213630199432373,1142,688.1616880893707,786432,786432,24576
-0.07290728,0.08635502,-0.055755563,-0.4886352,0.13619448,70.0886075949367,46.27917664445007,57.0,14,397,0.0002763157894736842,0.0002747011894825846,-0.039372026920318604,22.26924705505371,0.016695141792297363,0.012031633406877518,0.13234405517578124,0.058059513568878174,1151,739.9143152236938,851968,851968,26624
-0.055283535,0.07008628,-0.042502016,-0.37441155,0.11353756,60.10837887067395,37.60411294641443,50.0,14,297,0.0002743421052631579,0.000259672844549641,-0.03841743618249893,22.2515926361084,0.005295262206345797,0.013022766448557377,0.141351318359375,0.06869858503341675,1160,790.355922460556,917504,917504,28672
-0.047214422,0.06957679,-0.03488719,-0.51123315,0.10768087,58.73511111111111,37.82402602827539,48.0,11,296,0.00027236842105263155,0.0002247942320536822,-0.04028280824422836,22.216590881347656,0.014563800767064095,0.012486656196415424,0.14276885986328125,0.0670466423034668,1172,838.733071565628,983040,983040,30720
-0.039895438,0.064703934,-0.028745903,-0.557601,0.10355118,57.107112253641816,35.82899510577828,48.0,11,337,0.0002703947368421052,0.0002183535834774375,-0.04010150581598282,22.185585021972656,0.016296278685331345,0.013323890045285225,0.1460784912109375,0.0747794508934021,1181,887.6443243026733,1048576,1048576,32768
-0.031339332,0.064107485,-0.020341126,-0.37078467,0.11427794,54.62077493816982,33.992962227721485,46.0,12,330,0.0002684210526315789,0.00019434865680523217,-0.04410792514681816,22.162630081176758,0.0127479312941432,0.012533525004982948,0.14528045654296876,0.06869375705718994,1191,935.3999555110931,1114112,1114112,34816
-0.025823222,0.058565013,-0.016516846,-0.38960096,0.13600682,50.823574730354395,30.37415116549064,42.0,11,240,0.0002664473684210526,0.00017020036466419697,-0.04006272554397583,22.14581298828125,0.014033300802111626,0.014012292958796024,0.149658203125,0.0666196346282959,1197,984.924250125885,1179648,1179648,36864
-0.015120466,0.05213015,-0.00878234,-0.40167332,0.1281322,47.5025053686471,26.865251939960906,41.0,12,232,0.0002644736842105263,0.00015894832904450595,-0.044914957135915756,22.115463256835938,0.01130978949368,0.014868711121380329,0.15365753173828126,0.05737489461898804,1203,1034.4391202926636,1245184,1245184,38912
-0.007978285,0.047759622,-0.0011712508,-0.36601382,0.15006189,45.43630136986302,24.48800483585143,39.0,12,337,0.0002625,0.00013926654355600476,-0.03953924775123596,22.09341812133789,0.008864371106028557,0.012853551656007767,0.15671234130859374,0.0529787540435791,1208,1084.3145735263824,1310720,1310720,40960
-0.006290726,0.044500224,-0.0023303912,-0.29718196,0.123255335,43.27356020942408,21.625374914772923,38.0,12,168,0.0002605263157894737,0.00011577246914384887,-0.03952630236744881,22.06119728088379,0.015702826902270317,0.014609543606638908,0.158709716796875,0.03203845024108887,1209,1138.1993329524994,1376256,1376256,43008
-0.001989756,0.040764,0.0016040703,-0.21595271,0.1690154,42.35982199618563,20.150330453549874,37.0,12,150,0.00025855263157894734,9.953443077392876e-05,-0.04025830328464508,22.016231536865234,0.012926299124956131,0.0136583112180233,0.159552001953125,0.024900615215301514,1213,1188.375884771347,1441792,1441792,45056
0.0028345424,0.0393028,0.005951968,-0.25351977,0.12960038,41.187072715972654,19.91920740297583,36.0,12,161,0.00025657894736842105,9.268645226256922e-05,-0.03968573734164238,21.985774993896484,0.013814795762300491,0.013940064236521721,0.15766754150390624,0.0049239397048950195,1212,1243.3064033985138,1507328,1507328,47104
0.007560879,0.03646117,0.009211501,-0.14855771,0.13087893,40.71489883507051,19.101722405867495,36.0,12,145,0.0002546052631578947,8.214960689656436e-05,-0.03996209800243378,21.947269439697266,0.012533619999885559,0.013685096986591816,0.15471649169921875,-0.0066269636154174805,1215,1293.9834821224213,1572864,1572864,49152
0.008600589,0.034548566,0.010794093,-0.15504903,0.11777936,40.96794081381011,19.81751415792866,36.0,13,169,0.00025263157894736836,7.58335372665897e-05,-0.040972210466861725,21.915374755859375,0.011594083160161972,0.013250676915049553,0.16212615966796876,-0.004482746124267578,1216,1346.3849008083344,1638400,1638400,51200
